第 0 点 - 坐标: [279.7423, 0.0000], 绝对半径: 279.7423, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 1 点 - 坐标: [279.7423, -0.1331], 绝对半径: 279.7423, 绝对角度: 0.0273, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0273
第 2 点 - 坐标: [279.7415, -0.6218], 绝对半径: 279.7422, 绝对角度: 0.1274, 绝对半径差值: -0.0001, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 3 点 - 坐标: [279.7399, -1.1105], 绝对半径: 279.7421, 绝对角度: 0.2275, 绝对半径差值: -0.0002, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 4 点 - 坐标: [279.7376, -1.5992], 绝对半径: 279.7421, 绝对角度: 0.3275, 绝对半径差值: -0.0001, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 5 点 - 坐标: [279.7345, -2.0879], 绝对半径: 279.7423, 绝对角度: 0.4276, 绝对半径差值: -0.0000, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 6 点 - 坐标: [279.7306, -2.5766], 绝对半径: 279.7425, 绝对角度: 0.5277, 绝对半径差值: 0.0002, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 7 点 - 坐标: [279.7260, -3.0653], 绝对半径: 279.7428, 绝对角度: 0.6278, 绝对半径差值: 0.0005, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 8 点 - 坐标: [279.7260, -3.0653], 绝对半径: 279.7428, 绝对角度: 0.6278, 绝对半径差值: 0.0005, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 9 点 - 坐标: [279.7206, -3.5540], 绝对半径: 279.7432, 绝对角度: 0.7279, 绝对半径差值: 0.0009, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 10 点 - 坐标: [279.7145, -4.0426], 绝对半径: 279.7437, 绝对角度: 0.8280, 绝对半径差值: 0.0015, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 11 点 - 坐标: [279.7076, -4.5313], 绝对半径: 279.7443, 绝对角度: 0.9281, 绝对半径差值: 0.0021, 增量半径差值: 0.0006, 增量角度差值: 0.1001
第 12 点 - 坐标: [279.7000, -5.0199], 绝对半径: 279.7450, 绝对角度: 1.0282, 绝对半径差值: 0.0027, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 13 点 - 坐标: [279.6915, -5.5086], 绝对半径: 279.7457, 绝对角度: 1.1283, 绝对半径差值: 0.0034, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 14 点 - 坐标: [279.6821, -5.9972], 绝对半径: 279.7464, 绝对角度: 1.2284, 绝对半径差值: 0.0041, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 15 点 - 坐标: [279.6720, -6.4858], 绝对半径: 279.7472, 绝对角度: 1.3285, 绝对半径差值: 0.0049, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 16 点 - 坐标: [279.6609, -6.9744], 绝对半径: 279.7479, 绝对角度: 1.4286, 绝对半径差值: 0.0056, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 17 点 - 坐标: [279.6490, -7.4629], 绝对半径: 279.7486, 绝对角度: 1.5287, 绝对半径差值: 0.0063, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 18 点 - 坐标: [279.6362, -7.9515], 绝对半径: 279.7492, 绝对角度: 1.6288, 绝对半径差值: 0.0069, 增量半径差值: 0.0007, 增量角度差值: 0.1001
第 19 点 - 坐标: [279.6225, -8.4400], 绝对半径: 279.7498, 绝对角度: 1.7289, 绝对半径差值: 0.0075, 增量半径差值: 0.0006, 增量角度差值: 0.1001
第 20 点 - 坐标: [279.6078, -8.9285], 绝对半径: 279.7503, 绝对角度: 1.8290, 绝对半径差值: 0.0080, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 21 点 - 坐标: [279.5922, -9.4169], 绝对半径: 279.7507, 绝对角度: 1.9290, 绝对半径差值: 0.0085, 增量半径差值: 0.0004, 增量角度差值: 0.1001
