第 0 点 - 坐标: [237.4695, 0.0000], 绝对半径: 237.4695, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 1 点 - 坐标: [237.4693, -0.3443], 绝对半径: 237.4696, 绝对角度: 0.0831, 绝对半径差值: 0.0001, 增量半径差值: 0.0001, 增量角度差值: 0.0831
第 2 点 - 坐标: [237.4684, -0.7591], 绝对半径: 237.4696, 绝对角度: 0.1832, 绝对半径差值: 0.0001, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 3 点 - 坐标: [237.4669, -1.1739], 绝对半径: 237.4698, 绝对角度: 0.2832, 绝对半径差值: 0.0003, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 4 点 - 坐标: [237.4646, -1.5887], 绝对半径: 237.4700, 绝对角度: 0.3833, 绝对半径差值: 0.0005, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 5 点 - 坐标: [237.4617, -2.0035], 绝对半径: 237.4702, 绝对角度: 0.4834, 绝对半径差值: 0.0007, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 6 点 - 坐标: [237.4582, -2.4183], 绝对半径: 237.4705, 绝对角度: 0.5835, 绝对半径差值: 0.0010, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 7 点 - 坐标: [237.4582, -2.4183], 绝对半径: 237.4705, 绝对角度: 0.5835, 绝对半径差值: 0.0010, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 8 点 - 坐标: [237.4540, -2.8331], 绝对半径: 237.4709, 绝对角度: 0.6836, 绝对半径差值: 0.0014, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 9 点 - 坐标: [237.4491, -3.2479], 绝对半径: 237.4713, 绝对角度: 0.7837, 绝对半径差值: 0.0018, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 10 点 - 坐标: [237.4435, -3.6627], 绝对半径: 237.4718, 绝对角度: 0.8837, 绝对半径差值: 0.0023, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 11 点 - 坐标: [237.4373, -4.0774], 绝对半径: 237.4723, 绝对角度: 0.9838, 绝对半径差值: 0.0028, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 12 点 - 坐标: [237.4303, -4.4922], 绝对半径: 237.4728, 绝对角度: 1.0839, 绝对半径差值: 0.0033, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 13 点 - 坐标: [237.4227, -4.9069], 绝对半径: 237.4734, 绝对角度: 1.1840, 绝对半径差值: 0.0039, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 14 点 - 坐标: [237.4143, -5.3216], 绝对半径: 237.4739, 绝对角度: 1.2841, 绝对半径差值: 0.0044, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 15 点 - 坐标: [237.4051, -5.7363], 绝对半径: 237.4744, 绝对角度: 1.3841, 绝对半径差值: 0.0049, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 16 点 - 坐标: [237.3952, -6.1510], 绝对半径: 237.4749, 绝对角度: 1.4842, 绝对半径差值: 0.0054, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 17 点 - 坐标: [237.3846, -6.5657], 绝对半径: 237.4753, 绝对角度: 1.5843, 绝对半径差值: 0.0058, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 18 点 - 坐标: [237.3731, -6.9803], 绝对半径: 237.4757, 绝对角度: 1.6844, 绝对半径差值: 0.0062, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 19 点 - 坐标: [237.3609, -7.3950], 绝对半径: 237.4761, 绝对角度: 1.7845, 绝对半径差值: 0.0066, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 20 点 - 坐标: [237.3479, -7.8096], 绝对半径: 237.4764, 绝对角度: 1.8846, 绝对半径差值: 0.0069, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 21 点 - 坐标: [237.3342, -8.2242], 绝对半径: 237.4766, 绝对角度: 1.9846, 绝对半径差值: 0.0071, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 22 点 - 坐标: [237.3196, -8.6387], 绝对半径: 237.4768, 绝对角度: 2.0847, 绝对半径差值: 0.0073, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 23 点 - 坐标: [237.3043, -9.0532], 绝对半径: 237.4770, 绝对角度: 2.1848, 绝对半径差值: 0.0075, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 24 点 - 坐标: [237.2883, -9.4677], 绝对半径: 237.4771, 绝对角度: 2.2849, 绝对半径差值: 0.0076, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 25 点 - 坐标: [237.2715, -9.8822], 绝对半径: 237.4772, 绝对角度: 2.3850, 绝对半径差值: 0.0077, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 26 点 - 坐标: [237.2539, -10.2966], 绝对半径: 237.4773, 绝对角度: 2.4850, 绝对半径差值: 0.0078, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 27 点 - 坐标: [237.2356, -10.7110], 绝对半径: 237.4773, 绝对角度: 2.5851, 绝对半径差值: 0.0078, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 28 点 - 坐标: [237.2166, -11.1254], 绝对半径: 237.4773, 绝对角度: 2.6852, 绝对半径差值: 0.0078, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 29 点 - 坐标: [237.1968, -11.5397], 绝对半径: 237.4773, 绝对角度: 2.7853, 绝对半径差值: 0.0078, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 30 点 - 坐标: [237.1763, -11.9540], 绝对半径: 237.4773, 绝对角度: 2.8854, 绝对半径差值: 0.0078, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 31 点 - 坐标: [237.1550, -12.3683], 绝对半径: 237.4773, 绝对角度: 2.9854, 绝对半径差值: 0.0078, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 32 点 - 坐标: [237.1330, -12.7825], 绝对半径: 237.4773, 绝对角度: 3.0855, 绝对半径差值: 0.0078, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 33 点 - 坐标: [237.1103, -13.1967], 绝对半径: 237.4773, 绝对角度: 3.1856, 绝对半径差值: 0.0078, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 34 点 - 坐标: [237.0869, -13.6109], 绝对半径: 237.4773, 绝对角度: 3.2857, 绝对半径差值: 0.0078, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 35 点 - 坐标: [237.0628, -14.0250], 绝对半径: 237.4773, 绝对角度: 3.3858, 绝对半径差值: 0.0078, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 36 点 - 坐标: [237.0379, -14.4390], 绝对半径: 237.4773, 绝对角度: 3.4858, 绝对半径差值: 0.0078, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 37 点 - 坐标: [237.0124, -14.8530], 绝对半径: 237.4773, 绝对角度: 3.5859, 绝对半径差值: 0.0078, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 38 点 - 坐标: [236.9861, -15.2670], 绝对半径: 237.4774, 绝对角度: 3.6860, 绝对半径差值: 0.0079, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 39 点 - 坐标: [236.9591, -15.6809], 绝对半径: 237.4774, 绝对角度: 3.7861, 绝对半径差值: 0.0079, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 40 点 - 坐标: [236.9314, -16.0948], 绝对半径: 237.4775, 绝对角度: 3.8862, 绝对半径差值: 0.0080, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 41 点 - 坐标: [236.9031, -16.5087], 绝对半径: 237.4776, 绝对角度: 3.9862, 绝对半径差值: 0.0081, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 42 点 - 坐标: [236.8739, -16.9224], 绝对半径: 237.4776, 绝对角度: 4.0863, 绝对半径差值: 0.0081, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 43 点 - 坐标: [236.8441, -17.3362], 绝对半径: 237.4777, 绝对角度: 4.1864, 绝对半径差值: 0.0082, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 44 点 - 坐标: [236.8136, -17.7499], 绝对半径: 237.4778, 绝对角度: 4.2865, 绝对半径差值: 0.0083, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 45 点 - 坐标: [236.7823, -18.1635], 绝对半径: 237.4780, 绝对角度: 4.3865, 绝对半径差值: 0.0085, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 46 点 - 坐标: [236.7504, -18.5771], 绝对半径: 237.4781, 绝对角度: 4.4866, 绝对半径差值: 0.0086, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 47 点 - 坐标: [236.7177, -18.9906], 绝对半径: 237.4782, 绝对角度: 4.5867, 绝对半径差值: 0.0087, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 48 点 - 坐标: [236.6842, -19.4040], 绝对半径: 237.4783, 绝对角度: 4.6868, 绝对半径差值: 0.0088, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 49 点 - 坐标: [236.6501, -19.8174], 绝对半径: 237.4784, 绝对角度: 4.7869, 绝对半径差值: 0.0089, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 50 点 - 坐标: [236.6153, -20.2308], 绝对半径: 237.4786, 绝对角度: 4.8869, 绝对半径差值: 0.0091, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 51 点 - 坐标: [236.5797, -20.6441], 绝对半径: 237.4787, 绝对角度: 4.9870, 绝对半径差值: 0.0092, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 52 点 - 坐标: [236.5434, -21.0573], 绝对半径: 237.4788, 绝对角度: 5.0871, 绝对半径差值: 0.0093, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 53 点 - 坐标: [236.5064, -21.4704], 绝对半径: 237.4789, 绝对角度: 5.1872, 绝对半径差值: 0.0094, 增量半径差值: 0.0001, 增量角度差值: 0.1001
