第 0 点 - 坐标: [237.6453, 0.0000], 绝对半径: 237.6453, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 1 点 - 坐标: [237.6453, -0.1480], 绝对半径: 237.6453, 绝对角度: 0.0357, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0357
第 2 点 - 坐标: [237.6446, -0.5631], 绝对半径: 237.6452, 绝对角度: 0.1358, 绝对半径差值: -0.0001, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 3 点 - 坐标: [237.6432, -0.9783], 绝对半径: 237.6452, 绝对角度: 0.2359, 绝对半径差值: -0.0001, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 4 点 - 坐标: [237.6411, -1.3935], 绝对半径: 237.6452, 绝对角度: 0.3360, 绝对半径差值: -0.0001, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 5 点 - 坐标: [237.6384, -1.8087], 绝对半径: 237.6453, 绝对角度: 0.4361, 绝对半径差值: -0.0000, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 6 点 - 坐标: [237.6350, -2.2239], 绝对半径: 237.6454, 绝对角度: 0.5362, 绝对半径差值: 0.0001, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 7 点 - 坐标: [237.6309, -2.6390], 绝对半径: 237.6455, 绝对角度: 0.6363, 绝对半径差值: 0.0003, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 8 点 - 坐标: [237.6262, -3.0542], 绝对半径: 237.6458, 绝对角度: 0.7364, 绝对半径差值: 0.0005, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 9 点 - 坐标: [237.6262, -3.0542], 绝对半径: 237.6458, 绝对角度: 0.7364, 绝对半径差值: 0.0005, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 10 点 - 坐标: [237.6208, -3.4693], 绝对半径: 237.6461, 绝对角度: 0.8365, 绝对半径差值: 0.0008, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 11 点 - 坐标: [237.6147, -3.8845], 绝对半径: 237.6465, 绝对角度: 0.9366, 绝对半径差值: 0.0012, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 12 点 - 坐标: [237.6080, -4.2996], 绝对半径: 237.6469, 绝对角度: 1.0367, 绝对半径差值: 0.0016, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 13 点 - 坐标: [237.6005, -4.7147], 绝对半径: 237.6473, 绝对角度: 1.1368, 绝对半径差值: 0.0020, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 14 点 - 坐标: [237.5924, -5.1298], 绝对半径: 237.6478, 绝对角度: 1.2369, 绝对半径差值: 0.0025, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 15 点 - 坐标: [237.5836, -5.5449], 绝对半径: 237.6483, 绝对角度: 1.3370, 绝对半径差值: 0.0030, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 16 点 - 坐标: [237.5740, -5.9600], 绝对半径: 237.6487, 绝对角度: 1.4371, 绝对半径差值: 0.0034, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 17 点 - 坐标: [237.5637, -6.3751], 绝对半径: 237.6492, 绝对角度: 1.5372, 绝对半径差值: 0.0039, 增量半径差值: 0.0005, 增量角度差值: 0.1001
第 18 点 - 坐标: [237.5526, -6.7901], 绝对半径: 237.6496, 绝对角度: 1.6373, 绝对半径差值: 0.0043, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 19 点 - 坐标: [237.5407, -7.2051], 绝对半径: 237.6500, 绝对角度: 1.7374, 绝对半径差值: 0.0047, 增量半径差值: 0.0004, 增量角度差值: 0.1001
第 20 点 - 坐标: [237.5281, -7.6201], 绝对半径: 237.6503, 绝对角度: 1.8375, 绝对半径差值: 0.0050, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 21 点 - 坐标: [237.5147, -8.0351], 绝对半径: 237.6506, 绝对角度: 1.9376, 绝对半径差值: 0.0053, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 22 点 - 坐标: [237.5005, -8.4500], 绝对半径: 237.6508, 绝对角度: 2.0377, 绝对半径差值: 0.0055, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 23 点 - 坐标: [237.4856, -8.8650], 绝对半径: 237.6510, 绝对角度: 2.1378, 绝对半径差值: 0.0057, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 24 点 - 坐标: [237.4699, -9.2798], 绝对半径: 237.6511, 绝对角度: 2.2379, 绝对半径差值: 0.0058, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 25 点 - 坐标: [237.4534, -9.6947], 绝对半径: 237.6512, 绝对角度: 2.3380, 绝对半径差值: 0.0059, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 26 点 - 坐标: [237.4361, -10.1095], 绝对半径: 237.6512, 绝对角度: 2.4381, 绝对半径差值: 0.0060, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 27 点 - 坐标: [237.4181, -10.5243], 绝对半径: 237.6513, 绝对角度: 2.5382, 绝对半径差值: 0.0060, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 28 点 - 坐标: [237.3994, -10.9391], 绝对半径: 237.6513, 绝对角度: 2.6383, 绝对半径差值: 0.0060, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 29 点 - 坐标: [237.3798, -11.3538], 绝对半径: 237.6512, 绝对角度: 2.7384, 绝对半径差值: 0.0059, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 30 点 - 坐标: [237.3596, -11.7685], 绝对半径: 237.6512, 绝对角度: 2.8385, 绝对半径差值: 0.0059, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 31 点 - 坐标: [237.3386, -12.1832], 绝对半径: 237.6511, 绝对角度: 2.9386, 绝对半径差值: 0.0058, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 32 点 - 坐标: [237.3169, -12.5978], 绝对半径: 237.6510, 绝对角度: 3.0387, 绝对半径差值: 0.0057, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 33 点 - 坐标: [237.2944, -13.0124], 绝对半径: 237.6509, 绝对角度: 3.1388, 绝对半径差值: 0.0056, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 34 点 - 坐标: [237.2712, -13.4269], 绝对半径: 237.6508, 绝对角度: 3.2388, 绝对半径差值: 0.0056, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 35 点 - 坐标: [237.2473, -13.8414], 绝对半径: 237.6508, 绝对角度: 3.3389, 绝对半径差值: 0.0055, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 36 点 - 坐标: [237.2227, -14.2559], 绝对半径: 237.6507, 绝对角度: 3.4390, 绝对半径差值: 0.0054, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 37 点 - 坐标: [237.1974, -14.6703], 绝对半径: 237.6506, 绝对角度: 3.5391, 绝对半径差值: 0.0053, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 38 点 - 坐标: [237.1713, -15.0846], 绝对半径: 237.6506, 绝对角度: 3.6392, 绝对半径差值: 0.0053, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 39 点 - 坐标: [237.1446, -15.4990], 绝对半径: 237.6505, 绝对角度: 3.7393, 绝对半径差值: 0.0052, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 40 点 - 坐标: [237.1171, -15.9132], 绝对半径: 237.6505, 绝对角度: 3.8394, 绝对半径差值: 0.0052, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 41 点 - 坐标: [237.0890, -16.3275], 绝对半径: 237.6505, 绝对角度: 3.9395, 绝对半径差值: 0.0052, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 42 点 - 坐标: [237.0601, -16.7417], 绝对半径: 237.6505, 绝对角度: 4.0396, 绝对半径差值: 0.0052, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 43 点 - 坐标: [237.0305, -17.1558], 绝对半径: 237.6505, 绝对角度: 4.1397, 绝对半径差值: 0.0052, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 44 点 - 坐标: [237.0002, -17.5699], 绝对半径: 237.6505, 绝对角度: 4.2398, 绝对半径差值: 0.0053, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 45 点 - 坐标: [236.9692, -17.9839], 绝对半径: 237.6506, 绝对角度: 4.3399, 绝对半径差值: 0.0053, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 46 点 - 坐标: [236.9374, -18.3979], 绝对半径: 237.6506, 绝对角度: 4.4400, 绝对半径差值: 0.0053, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 47 点 - 坐标: [236.9050, -18.8118], 绝对半径: 237.6507, 绝对角度: 4.5401, 绝对半径差值: 0.0054, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 48 点 - 坐标: [236.8718, -19.2256], 绝对半径: 237.6507, 绝对角度: 4.6402, 绝对半径差值: 0.0054, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 49 点 - 坐标: [236.8379, -19.6395], 绝对半径: 237.6508, 绝对角度: 4.7403, 绝对半径差值: 0.0055, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 50 点 - 坐标: [236.8033, -20.0532], 绝对半径: 237.6509, 绝对角度: 4.8404, 绝对半径差值: 0.0056, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 51 点 - 坐标: [236.7680, -20.4669], 绝对半径: 237.6509, 绝对角度: 4.9405, 绝对半径差值: 0.0057, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 52 点 - 坐标: [236.7319, -20.8805], 绝对半径: 237.6510, 绝对角度: 5.0406, 绝对半径差值: 0.0057, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 53 点 - 坐标: [236.6952, -21.2940], 绝对半径: 237.6511, 绝对角度: 5.1407, 绝对半径差值: 0.0058, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 54 点 - 坐标: [236.6577, -21.7075], 绝对半径: 237.6512, 绝对角度: 5.2408, 绝对半径差值: 0.0059, 增量半径差值: 0.0001, 增量角度差值: 0.1001
